"	brewery names	business type	address	city	zip	lat	long	yelp rating	number of yelp reviews",
"0	10 Barrel Brewing - San Diego	Breweries	1501 E St	San Diego	92101	32.7145590497446	-117.150228582323	4.5	364",
"1	101 North Brewing Company	Breweries	1304 Scott St	Petaluma California	94954	38.26995	-122.66493	4.0	64",
"2	13 Point Brewing Company	Breweries	8035 Broadway	Lemon Grove	91945	32.742786	-117.02491	4.5	35",
"3	14 Cannons	Breweries	31125 Via Colinas	Westlake Village	91362	34.1535538	-118.8031695	4.5	75",
"4	Latchkey Brewing Company	Breweries	1795 Hancock St	San Diego	92110	32.7424694	-117.1846678	5.0	24",
"5	Grass Valley Brewing Company	Breweries	141 E Main St	Grass Valley	95945	39.2193141616587	-121.060496717691	4.5	22",
"6	The Alley	Pubs	5027 Central Yosemite Hwy	Mariposa	95338	37.4846406306075	-119.965309241611	5.0	42",
"7	21st Amendment Brewery	Breweries	2010 Williams St	San Leandro	94577	37.7120399	-122.1776428	4.0	260",
"8	21st Amendment Brewery	Brewpubs	563 2nd St	San Francisco	94107	37.78253	-122.39249	3.5	2433",
"9	2kids Brewing Co	Breweries	8680 Miralani Dr	San Diego	92126	32.896564	-117.137428	4.0	86",
"10	3 Disciples Brewing	Breweries	501 Mendocino Ave	Santa Rosa	95401	38.44193	-122.71558	4.5	28",
"11	3 Iron Brewing Company	Breweries	898 Via Lata	Colton	92324	34.055908203125	-117.306198120117	5.0	50",
"12	32 North Brewing Co	Breweries	8655 Production Ave	San Diego	92121	32.8827438354492	-117.164985656738	4.5	171",
"13	47 Hills Brewing Company	Breweries	137 S Linden Ave	South San Francisco	94080	37.644218	-122.413452	4.5	159",
"14	The Brass Tap	Pubs	5150 Commons Dr	Rocklin	95677	38.800931	-121.208931	3.5	140",
"15	559 Beer	Breweries	356 Pollasky Ave	Clovis	93612	36.825516	-119.702201	4.0	65",
"16	6th & La Brea Brewery & Restaurant	Breweries	600 S La Brea Ave	Los Angeles	90036	34.06469	-118.34368	4.0	266",
"17	Tap It Brewing	Breweries	675 Clarion Ct	San Luis Obispo	93401	35.24409	-120.64595	4.5	100",
"18	8 Bit Brewing Company	American (New)	26755 Jefferson Ave	Murrieta	92562	33.530025	-117.176475	4.5	605",
"19	8one8 Brewing	Breweries	8951 De Soto Ave	Canoga Park	91304	34.2333572	-118.5886849	4.5	55",
"20	927 Beer Company	Breweries	821 Cornwall St	Cambria	93428	35.5666732788086	-121.098457336426	4.5	157",
"21	Abnormal Beer Company	Breweries	16990 Via Tazon	San Diego	92127	33.02385	-117.08575	5.0	6",
"22	Absolution Brewing Company	Breweries	2878 Columbia St	Torrance	90503	33.8431071994591	-118.337961758885	4.0	283",
"23	The Rake at Admiral Maltings	Beer Bar	651A W Tower Ave	Alameda	94501	37.783203	-122.298836	4.5	34",
"24	Stone Brewing - Napa	Breweries	920-930 3rd St	Napa	94559	38.298787	-122.282856	4.0	207",
"25	Aftershock Brewing	Breweries	28822 Old Town Front St	Temecula	92590	33.4884084682468	-117.144346833229	4.5	182",
"26	Alameda Island Brewing Company	Breweries	1716 Park St	Alameda	94501	37.7684402	-122.2388611	4.5	303",
"27	Alaro Craft Brewery	Breweries	2004 Capitol Ave	Sacramento	95811	38.57312933	-121.481076	4.0	157",
"28	Ale Industries	Breweries	3096 E 10th St	Oakland	94601	37.7761997597446	-122.228376455605	4.5	169",
"29	AleSmith Brewing Company	Breweries	9990 AleSmith Ct	San Diego	92126	32.8873241	-117.1493986	4.5	410",
"30	Alibi Ale Works - Truckee Public House	Breweries	10069 Bridge St	Truckee	96161	39.3292899	-120.1842621	4.5	118",
"31	Align Brewing Company	Breweries	8680 Miralani Dr	San Diego	92126	32.89666	-117.13722	4.5	17",
"32	All-American Brew Works	Breweries	5120 E La Palma Ave	Anaheim	92807	33.8593551	-117.8062077	4.5	95",
"33	The Rake at Admiral Maltings	Beer Bar	651A W Tower Ave	Alameda	94501	37.783203	-122.298836	4.5	34",
"34	Alosta Brewing Co	Breweries	692 Arrow Grand Cir	Covina	91722	34.104594	-117.878892	4.5	153",
"35	47 Hills Brewing Company	Breweries	137 S Linden Ave	South San Francisco	94080	37.644218	-122.413452	4.5	159",
"36	Alpine Beer Company - Tasting Room	Breweries	2363 Alpine Blvd	Alpine	91901	32.835167	-116.762655	4.0	492",
"37	Alta Brewing Co	Breweries	1983 Julian Ave	San Diego	92113	32.70191	-117.14151	4.5	27",
"38	Altamont Beer Works	Breweries	2402 Research Dr	Livermore	94550	37.67625	-121.72009	4.5	209",
"39	Alvarado Street Brewery	Breweries	1315 Dayton St	Salinas	93901	36.6485249599182	-121.630899926443	4.5	58",
"40	Alvarado Street Brewery	Breweries	426 Alvarado St	Monterey	93940	36.59931	-121.89492	4.0	1142",
"41	Amador Brewing Company	Breweries	9659 Main St	Plymouth	95669	38.4819298	-120.8450394	4.5	101",
